page,id,title,url,path,header_image_url,annotation_count,pyongs_count,primaryartist_id,primaryartist_name,primaryartist_url,primaryartist_imageurl
66,3876995,R.I.P. SCREW,https://genius.com/Travis-scott-rip-screw-lyrics,/Travis-scott-rip-screw-lyrics,https://images.genius.com/0d7f07bc4caf376850e68900f4974ca4.1000x573x1.jpg,10,22,20185,Travis Scott,https://genius.com/artists/Travis-scott,https://images.genius.com/62d241389823ea14f6a4612f37e29db8.1000x1000x1.jpg
66,722288,You Ain’t Gotta Lie (Momma Said),https://genius.com/Kendrick-lamar-you-aint-gotta-lie-momma-said-lyrics,/Kendrick-lamar-you-aint-gotta-lie-momma-said-lyrics,https://images.genius.com/ffb1a13cfda120ba85ab9e2a83a4e158.1000x1000x1.jpg,33,101,1421,Kendrick Lamar,https://genius.com/artists/Kendrick-lamar,https://images.genius.com/25d8a9c93ab97e9e6d5d1d9d36e64a53.1000x1000x1.jpg
66,73745,Everlong,https://genius.com/Foo-fighters-everlong-lyrics,/Foo-fighters-everlong-lyrics,https://images.genius.com/16d9829e38e9769ffa54e15b46705886.1000x1000x1.jpg,10,83,17237,Foo Fighters,https://genius.com/artists/Foo-fighters,https://images.genius.com/17366eba809cf358cd3d607f5c0d50e1.1000x1000x1.jpg
66,201881,Honest,https://genius.com/Future-honest-lyrics,/Future-honest-lyrics,https://images.rapgenius.com/b6da77acfe693533f702ab9517f2c23e.640x640x1.jpg,18,54,2197,Future,https://genius.com/artists/Future,https://images.genius.com/d3c864e3e8edaccf25a66ba49790f4d0.300x300x1.jpg
66,264116,Russell Westbrook on a Farm,https://genius.com/Lil-dicky-russell-westbrook-on-a-farm-lyrics,/Lil-dicky-russell-westbrook-on-a-farm-lyrics,https://images.genius.com/98c9df8b35c4526d7d38b6a505645e4d.800x800x1.jpg,37,73,47589,Lil Dicky,https://genius.com/artists/Lil-dicky,https://images.genius.com/a3d25d0210e13494897cca2f0441ba4c.1000x1000x1.jpg
66,4619,We All Try,https://genius.com/Frank-ocean-we-all-try-lyrics,/Frank-ocean-we-all-try-lyrics,https://images.genius.com/7a9bf37d2eb6a00249c3991467c1d8ad.1000x1000x1.jpg,15,51,1985,Frank Ocean,https://genius.com/artists/Frank-ocean,https://images.genius.com/78a9a1403027e5778b473c71204b1ac0.728x728x1.jpg
66,230407,Elastic Heart (Hunger Games Version),https://genius.com/Sia-elastic-heart-hunger-games-version-lyrics,/Sia-elastic-heart-hunger-games-version-lyrics,https://images.genius.com/77630fb516f17399793f9644f4452418.500x500x1.jpg,14,354,16775,Sia,https://genius.com/artists/Sia,https://images.genius.com/6bcd2bd1708eeae7282400f1e4be633f.600x600x1.jpg
66,112049,The Great Gatsby (Chapter VI),https://genius.com/F-scott-fitzgerald-the-great-gatsby-chapter-vi-annotated,/F-scott-fitzgerald-the-great-gatsby-chapter-vi-annotated,https://images.genius.com/0a131ed8e58da3310e81d3e11e4b16b8.531x800x1.png,140,25,23550,F. Scott Fitzgerald,https://genius.com/artists/F-scott-fitzgerald,https://s3.amazonaws.com/rapgenius/3190.jpg
67,2954007,Helium,https://genius.com/Sia-helium-lyrics,/Sia-helium-lyrics,https://images.genius.com/e7cb3f9defeba54dcf99125f1749f069.600x600x1.jpg,4,13,16775,Sia,https://genius.com/artists/Sia,https://images.genius.com/6bcd2bd1708eeae7282400f1e4be633f.600x600x1.jpg
67,182416,F.U.T.W,https://genius.com/Jay-z-futw-lyrics,/Jay-z-futw-lyrics,https://s3.amazonaws.com/rapgenius/MCHG_cover.jpg,37,26,2,JAY-Z,https://genius.com/artists/Jay-z,https://images.genius.com/bf0f68ee56f29c8542ad805c6419682b.676x676x1.jpg
